nohup: ignoring input
Random Seed:  2048
cuda:0  will be used.

Generator(
  (gen): Sequential(
    (0): Linear(in_features=260, out_features=256, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=256, out_features=1000, bias=True)
    (5): Tanh()
  )
)
Discriminator(
  (dis): Sequential(
    (0): Linear(in_features=1000, out_features=256, bias=True)
    (1): LeakyReLU(negative_slope=0.2)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): LeakyReLU(negative_slope=0.2)
    (4): Linear(in_features=256, out_features=128, bias=True)
    (5): Sigmoid()
  )
)
DHead(
  (dis): Linear(in_features=128, out_features=1, bias=True)
)
QHead(
  (disc): Linear(in_features=128, out_features=4, bias=True)
  (mu): Linear(in_features=128, out_features=8, bias=True)
  (var): Linear(in_features=128, out_features=8, bias=True)
)
-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 2953
-------------------------
[7/100][600/2953]	Loss_D: -1.3736	Loss_G: 3.5475
[7/100][700/2953]	Loss_D: -2.5666	Loss_G: 3.5471
[7/100][800/2953]	Loss_D: -2.1955	Loss_G: 3.5499
[7/100][900/2953]	Loss_D: -2.1769	Loss_G: 3.5756
[7/100][1000/2953]	Loss_D: -1.5359	Loss_G: 3.6007
[7/100][1100/2953]	Loss_D: -1.8956	Loss_G: 3.6410
[7/100][1200/2953]	Loss_D: -0.9728	Loss_G: 3.6340
[7/100][1300/2953]	Loss_D: -1.4213	Loss_G: 3.6244
[7/100][1400/2953]	Loss_D: -2.4683	Loss_G: 3.6588
[7/100][1500/2953]	Loss_D: -3.0444	Loss_G: 3.6263
[7/100][1600/2953]	Loss_D: -2.0028	Loss_G: 3.6572
[7/100][1700/2953]	Loss_D: -2.1925	Loss_G: 3.6758
[7/100][1800/2953]	Loss_D: -2.7272	Loss_G: 3.6299
[7/100][1900/2953]	Loss_D: -2.1006	Loss_G: 3.6703
[7/100][2000/2953]	Loss_D: -1.4056	Loss_G: 3.6382
[7/100][2100/2953]	Loss_D: -3.1212	Loss_G: 3.0884
[7/100][2200/2953]	Loss_D: -2.2523	Loss_G: 3.1347
[7/100][2300/2953]	Loss_D: -2.2386	Loss_G: 3.2691
[7/100][2400/2953]	Loss_D: -1.8393	Loss_G: 3.3072
[7/100][2500/2953]	Loss_D: -0.9666	Loss_G: 3.4585
[7/100][2600/2953]	Loss_D: -2.6475	Loss_G: 3.5658
[7/100][2700/2953]	Loss_D: -2.7664	Loss_G: 3.6407
[7/100][2800/2953]	Loss_D: -2.7943	Loss_G: 3.7201
[7/100][2900/2953]	Loss_D: -2.8091	Loss_G: 3.7943
Time taken for Epoch 7: 35.52s
[8/100][100/2953]	Loss_D: -1.0289	Loss_G: 3.8596
[8/100][200/2953]	Loss_D: -4.0815	Loss_G: 3.8491
[8/100][300/2953]	Loss_D: -2.7917	Loss_G: 3.9431
[8/100][400/2953]	Loss_D: -2.7675	Loss_G: 3.9455
[8/100][500/2953]	Loss_D: -2.9643	Loss_G: 3.9567
[8/100][600/2953]	Loss_D: -2.9557	Loss_G: 3.9875
[8/100][700/2953]	Loss_D: -2.5041	Loss_G: 4.0136
[8/100][800/2953]	Loss_D: -2.5705	Loss_G: 4.0509
[8/100][900/2953]	Loss_D: -2.8107	Loss_G: 4.0661
[8/100][1000/2953]	Loss_D: -2.5288	Loss_G: 4.0601
[8/100][1100/2953]	Loss_D: -1.9675	Loss_G: 4.0603
[8/100][1200/2953]	Loss_D: -2.6361	Loss_G: 4.0522
[8/100][1300/2953]	Loss_D: -2.5545	Loss_G: 4.0564
[8/100][1400/2953]	Loss_D: -2.5138	Loss_G: 4.0885
[8/100][1500/2953]	Loss_D: -3.3409	Loss_G: 4.1153
[8/100][1600/2953]	Loss_D: -1.7586	Loss_G: 4.1463
[8/100][1700/2953]	Loss_D: -1.1839	Loss_G: 4.0975
[8/100][1800/2953]	Loss_D: -1.3374	Loss_G: 4.1478
[8/100][1900/2953]	Loss_D: -1.4937	Loss_G: 4.1265
[8/100][2000/2953]	Loss_D: -3.1918	Loss_G: 3.5078
[8/100][2100/2953]	Loss_D: -2.8073	Loss_G: 3.6470
[8/100][2200/2953]	Loss_D: -2.2734	Loss_G: 3.7392
[8/100][2300/2953]	Loss_D: -1.7103	Loss_G: 3.8763
[8/100][2400/2953]	Loss_D: -2.3476	Loss_G: 3.8958
[8/100][2500/2953]	Loss_D: -2.2027	Loss_G: 3.9631
[8/100][2600/2953]	Loss_D: -2.5565	Loss_G: 4.0453
[8/100][2700/2953]	Loss_D: -1.4287	Loss_G: 4.0584
[8/100][2800/2953]	Loss_D: -2.6262	Loss_G: 4.0713
[8/100][2900/2953]	Loss_D: -3.3303	Loss_G: 4.1471
Time taken for Epoch 8: 35.78s
[9/100][100/2953]	Loss_D: -1.5545	Loss_G: 4.2056
[9/100][200/2953]	Loss_D: -0.1974	Loss_G: 4.2687
[9/100][300/2953]	Loss_D: -2.3090	Loss_G: 4.3048
[9/100][400/2953]	Loss_D: -0.7576	Loss_G: 4.3110
[9/100][500/2953]	Loss_D: -1.2628	Loss_G: 4.3204
[9/100][600/2953]	Loss_D: -2.1237	Loss_G: 4.3064
[9/100][700/2953]	Loss_D: -2.9448	Loss_G: 4.3280
[9/100][800/2953]	Loss_D: -1.6807	Loss_G: 4.4190
[9/100][900/2953]	Loss_D: -2.2486	Loss_G: 4.4197
[9/100][1000/2953]	Loss_D: -2.0930	Loss_G: 4.4391
[9/100][1100/2953]	Loss_D: -3.1314	Loss_G: 4.4913
[9/100][1200/2953]	Loss_D: -2.9850	Loss_G: 4.5309
[9/100][1300/2953]	Loss_D: -1.1921	Loss_G: 4.5652
[9/100][1400/2953]	Loss_D: -3.1562	Loss_G: 4.6048
[9/100][1500/2953]	Loss_D: -2.9100	Loss_G: 4.6269
[9/100][1600/2953]	Loss_D: -2.0277	Loss_G: 4.6705
[9/100][1700/2953]	Loss_D: -2.9164	Loss_G: 4.6628
[9/100][1800/2953]	Loss_D: -3.3431	Loss_G: 4.6629
[9/100][1900/2953]	Loss_D: -4.1387	Loss_G: 4.6350
[9/100][2000/2953]	Loss_D: -1.8952	Loss_G: 4.7041
[9/100][2100/2953]	Loss_D: -0.9618	Loss_G: 4.7508
[9/100][2200/2953]	Loss_D: -1.6394	Loss_G: 4.7925
[9/100][2300/2953]	Loss_D: -1.4959	Loss_G: 4.8206
[9/100][2400/2953]	Loss_D: -2.1852	Loss_G: 4.8368
[9/100][2500/2953]	Loss_D: -2.3445	Loss_G: 4.8778
[9/100][2600/2953]	Loss_D: -1.2869	Loss_G: 4.8861
[9/100][2700/2953]	Loss_D: -2.0918	Loss_G: 4.9179
[9/100][2800/2953]	Loss_D: -2.1486	Loss_G: 4.9438
[9/100][2900/2953]	Loss_D: -3.2281	Loss_G: 4.9552
Time taken for Epoch 9: 35.68s
[10/100][100/2953]	Loss_D: -2.4917	Loss_G: 4.9823
[10/100][200/2953]	Loss_D: -1.7970	Loss_G: 4.9967
[10/100][300/2953]	Loss_D: -2.2344	Loss_G: 5.0128
[10/100][400/2953]	Loss_D: -2.3431	Loss_G: 5.0470
[10/100][500/2953]	Loss_D: -1.3225	Loss_G: 5.0552
[10/100][600/2953]	Loss_D: -2.2430	Loss_G: 5.0726
[10/100][700/2953]	Loss_D: -2.6339	Loss_G: 5.0926
[10/100][800/2953]	Loss_D: -2.8578	Loss_G: 5.1063
[10/100][900/2953]	Loss_D: -2.2620	Loss_G: 5.1340
[10/100][1000/2953]	Loss_D: -2.5989	Loss_G: 5.1292
[10/100][1100/2953]	Loss_D: -2.4956	Loss_G: 5.1456
[10/100][1200/2953]	Loss_D: -1.8376	Loss_G: 5.1620
[10/100][1300/2953]	Loss_D: -2.3924	Loss_G: 5.1695
[10/100][1400/2953]	Loss_D: -3.1169	Loss_G: 5.1832
[10/100][1500/2953]	Loss_D: -3.2357	Loss_G: 5.1966
[10/100][1600/2953]	Loss_D: -2.6338	Loss_G: 5.2156
[10/100][1700/2953]	Loss_D: -2.2508	Loss_G: 5.2262
[10/100][1800/2953]	Loss_D: -2.8122	Loss_G: 5.2415
[10/100][1900/2953]	Loss_D: -2.7051	Loss_G: 5.2607
[10/100][2000/2953]	Loss_D: -2.1547	Loss_G: 5.2732
[10/100][2100/2953]	Loss_D: -1.6009	Loss_G: 5.2889
[10/100][2200/2953]	Loss_D: -3.0619	Loss_G: 5.2960
[10/100][2300/2953]	Loss_D: -1.4386	Loss_G: 5.3169
[10/100][2400/2953]	Loss_D: -3.1325	Loss_G: 5.3132
[10/100][2500/2953]	Loss_D: -3.3652	Loss_G: 5.3201
[10/100][2600/2953]	Loss_D: -2.3552	Loss_G: 5.3324
[10/100][2700/2953]	Loss_D: -0.6021	Loss_G: 5.3547
[10/100][2800/2953]	Loss_D: -4.4103	Loss_G: 5.3636
[10/100][2900/2953]	Loss_D: -2.3705	Loss_G: 5.3825
Time taken for Epoch 10: 35.46s
[11/100][100/2953]	Loss_D: -2.0366	Loss_G: 5.4009
[11/100][200/2953]	Loss_D: -3.4115	Loss_G: 5.4084
[11/100][300/2953]	Loss_D: -2.7897	Loss_G: 5.4248
[11/100][400/2953]	Loss_D: -2.5083	Loss_G: 5.4403
[11/100][500/2953]	Loss_D: -3.8961	Loss_G: 5.4457
[11/100][600/2953]	Loss_D: -2.0583	Loss_G: 5.4567
[11/100][700/2953]	Loss_D: -2.2369	Loss_G: 5.4700
[11/100][800/2953]	Loss_D: -3.2254	Loss_G: 5.4797
[11/100][900/2953]	Loss_D: -3.8137	Loss_G: 5.4822
[11/100][1000/2953]	Loss_D: -3.2982	Loss_G: 5.4952
[11/100][1100/2953]	Loss_D: -1.4385	Loss_G: 5.5157
[11/100][1200/2953]	Loss_D: -3.8373	Loss_G: 5.5196
[11/100][1300/2953]	Loss_D: -2.3821	Loss_G: 5.5329
[11/100][1400/2953]	Loss_D: -3.1500	Loss_G: 5.5434
[11/100][1500/2953]	Loss_D: -3.5098	Loss_G: 5.5572
[11/100][1600/2953]	Loss_D: -2.7512	Loss_G: 5.5640
[11/100][1700/2953]	Loss_D: -1.6881	Loss_G: 4.9688
[11/100][1800/2953]	Loss_D: -2.1091	Loss_G: 5.1989
[11/100][1900/2953]	Loss_D: -3.4779	Loss_G: 5.3588
[11/100][2000/2953]	Loss_D: -2.1189	Loss_G: 5.3972
[11/100][2100/2953]	Loss_D: -2.1251	Loss_G: 5.4621
[11/100][2200/2953]	Loss_D: -2.4274	Loss_G: 5.4617
[11/100][2300/2953]	Loss_D: -2.6716	Loss_G: 5.4196
[11/100][2400/2953]	Loss_D: -3.5745	Loss_G: 5.4959
