nohup: ignoring input
Random Seed:  2048
cuda:0  will be used.

Generator(
  (gen): Sequential(
    (0): Linear(in_features=259, out_features=256, bias=True)
    (1): ReLU(inplace=True)
    (2): Linear(in_features=256, out_features=256, bias=True)
    (3): ReLU(inplace=True)
    (4): Linear(in_features=256, out_features=1024, bias=True)
    (5): Tanh()
  )
)
Discriminator(
  (dis): Sequential(
    (0): Linear(in_features=1024, out_features=512, bias=True)
    (1): LeakyReLU(negative_slope=0.2)
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): LeakyReLU(negative_slope=0.2)
    (4): Linear(in_features=256, out_features=256, bias=True)
    (5): LeakyReLU(negative_slope=0.2)
    (6): Linear(in_features=256, out_features=128, bias=True)
    (7): Sigmoid()
  )
)
DHead(
  (dis): Linear(in_features=128, out_features=1, bias=True)
)
QHead(
  (disc): Linear(in_features=128, out_features=4, bias=True)
  (mu): Linear(in_features=128, out_features=8, bias=True)
  (var): Linear(in_features=128, out_features=8, bias=True)
)
-------------------------
Starting Training Loop...

Epochs: 100
Dataset: TEXBAT
Batch Size: 128
Length of Data Loader: 1230
-------------------------
[16/100][200/1230]	Loss_D: -36.7838	Loss_G: 9.8797
[16/100][300/1230]	Loss_D: -32.5377	Loss_G: 8.9064
[16/100][400/1230]	Loss_D: -28.1121	Loss_G: 11.1114
[16/100][500/1230]	Loss_D: -30.6031	Loss_G: 8.7878
[16/100][600/1230]	Loss_D: -31.2757	Loss_G: 10.8810
[16/100][700/1230]	Loss_D: -39.0548	Loss_G: 6.9949
[16/100][800/1230]	Loss_D: -32.8045	Loss_G: 12.4624
[16/100][900/1230]	Loss_D: -29.0328	Loss_G: 10.4868
[16/100][1000/1230]	Loss_D: -29.5616	Loss_G: 9.4225
[16/100][1100/1230]	Loss_D: -28.1820	Loss_G: 13.9889
[16/100][1200/1230]	Loss_D: -39.1661	Loss_G: 10.2838
Time taken for Epoch 16: 15.64s
[17/100][100/1230]	Loss_D: -35.1421	Loss_G: 7.0318
[17/100][200/1230]	Loss_D: -39.9638	Loss_G: 9.0077
[17/100][300/1230]	Loss_D: -34.9503	Loss_G: 9.1800
[17/100][400/1230]	Loss_D: -33.5048	Loss_G: 8.7792
[17/100][500/1230]	Loss_D: -29.6644	Loss_G: 9.7868
[17/100][600/1230]	Loss_D: -28.0209	Loss_G: 7.9995
[17/100][700/1230]	Loss_D: -33.5569	Loss_G: 10.2365
[17/100][800/1230]	Loss_D: -31.2451	Loss_G: 7.5969
[17/100][900/1230]	Loss_D: -37.4908	Loss_G: 11.5010
[17/100][1000/1230]	Loss_D: -38.2744	Loss_G: 7.6129
[17/100][1100/1230]	Loss_D: -42.9680	Loss_G: 10.1839
[17/100][1200/1230]	Loss_D: -32.0475	Loss_G: 13.0018
Time taken for Epoch 17: 15.92s
[18/100][100/1230]	Loss_D: -34.3977	Loss_G: 12.5500
[18/100][200/1230]	Loss_D: -35.8656	Loss_G: 9.7367
[18/100][300/1230]	Loss_D: -30.4035	Loss_G: 11.3757
[18/100][400/1230]	Loss_D: -26.5413	Loss_G: 6.8547
[18/100][500/1230]	Loss_D: -31.3678	Loss_G: 7.4366
[18/100][600/1230]	Loss_D: -28.7337	Loss_G: 11.0648
[18/100][700/1230]	Loss_D: -28.8841	Loss_G: 8.9624
[18/100][800/1230]	Loss_D: -32.4964	Loss_G: 11.3399
[18/100][900/1230]	Loss_D: -35.8934	Loss_G: 15.9841
[18/100][1000/1230]	Loss_D: -32.0720	Loss_G: 8.2716
[18/100][1100/1230]	Loss_D: -38.2393	Loss_G: 13.7862
[18/100][1200/1230]	Loss_D: -39.2124	Loss_G: 9.5372
Time taken for Epoch 18: 16.04s
[19/100][100/1230]	Loss_D: -26.6137	Loss_G: 11.7154
[19/100][200/1230]	Loss_D: -26.4997	Loss_G: 7.7080
[19/100][300/1230]	Loss_D: -34.3585	Loss_G: 8.4141
[19/100][400/1230]	Loss_D: -25.7271	Loss_G: 7.2817
[19/100][500/1230]	Loss_D: -31.1106	Loss_G: 12.4390
[19/100][600/1230]	Loss_D: -26.6451	Loss_G: 7.6515
[19/100][700/1230]	Loss_D: -31.9304	Loss_G: 7.3914
[19/100][800/1230]	Loss_D: -34.4484	Loss_G: 7.7720
[19/100][900/1230]	Loss_D: -30.4616	Loss_G: 7.9542
[19/100][1000/1230]	Loss_D: -45.3150	Loss_G: 6.9162
[19/100][1100/1230]	Loss_D: -29.6791	Loss_G: 8.4738
[19/100][1200/1230]	Loss_D: -30.1395	Loss_G: 10.7314
Time taken for Epoch 19: 15.87s
[20/100][100/1230]	Loss_D: -36.7045	Loss_G: 10.3780
[20/100][200/1230]	Loss_D: -37.6754	Loss_G: 9.3973
[20/100][300/1230]	Loss_D: -28.9000	Loss_G: 10.2714
[20/100][400/1230]	Loss_D: -32.7181	Loss_G: 7.3662
[20/100][500/1230]	Loss_D: -33.3971	Loss_G: 9.0639
[20/100][600/1230]	Loss_D: -27.3510	Loss_G: 10.6965
[20/100][700/1230]	Loss_D: -26.3232	Loss_G: 9.4824
[20/100][800/1230]	Loss_D: -35.1314	Loss_G: 8.6999
[20/100][900/1230]	Loss_D: -32.1126	Loss_G: 9.9900
[20/100][1000/1230]	Loss_D: -33.0550	Loss_G: 10.7690
[20/100][1100/1230]	Loss_D: -30.8304	Loss_G: 10.3296
[20/100][1200/1230]	Loss_D: -25.9085	Loss_G: 9.0179
Time taken for Epoch 20: 15.69s
[21/100][100/1230]	Loss_D: -38.2794	Loss_G: 7.3052
[21/100][200/1230]	Loss_D: -32.0633	Loss_G: 7.3930
[21/100][300/1230]	Loss_D: -29.6375	Loss_G: 7.4834
[21/100][400/1230]	Loss_D: -30.4363	Loss_G: 7.8926
[21/100][500/1230]	Loss_D: -27.3736	Loss_G: 7.6518
[21/100][600/1230]	Loss_D: -38.8792	Loss_G: 7.8620
[21/100][700/1230]	Loss_D: -25.6849	Loss_G: 7.8056
[21/100][800/1230]	Loss_D: -29.7643	Loss_G: 10.4078
[21/100][900/1230]	Loss_D: -34.9395	Loss_G: 7.4637
[21/100][1000/1230]	Loss_D: -35.4724	Loss_G: 8.4296
[21/100][1100/1230]	Loss_D: -27.9183	Loss_G: 7.9819
[21/100][1200/1230]	Loss_D: -34.9562	Loss_G: 6.9815
Time taken for Epoch 21: 15.73s
[22/100][100/1230]	Loss_D: -32.9340	Loss_G: 6.9351
[22/100][200/1230]	Loss_D: -25.6946	Loss_G: 8.2051
[22/100][300/1230]	Loss_D: -26.2893	Loss_G: 9.5735
[22/100][400/1230]	Loss_D: -35.0551	Loss_G: 7.5048
[22/100][500/1230]	Loss_D: -31.8917	Loss_G: 8.5129
[22/100][600/1230]	Loss_D: -33.5382	Loss_G: 11.3841
[22/100][700/1230]	Loss_D: -31.1547	Loss_G: 6.5461
[22/100][800/1230]	Loss_D: -25.5899	Loss_G: 7.9844
[22/100][900/1230]	Loss_D: -36.0008	Loss_G: 5.9036
[22/100][1000/1230]	Loss_D: -31.2045	Loss_G: 8.5327
[22/100][1100/1230]	Loss_D: -34.1994	Loss_G: 8.0291
[22/100][1200/1230]	Loss_D: -31.3427	Loss_G: 7.0023
Time taken for Epoch 22: 15.60s
[23/100][100/1230]	Loss_D: -32.6722	Loss_G: 10.2032
[23/100][200/1230]	Loss_D: -33.4922	Loss_G: 6.9267
[23/100][300/1230]	Loss_D: -37.5097	Loss_G: 7.9241
[23/100][400/1230]	Loss_D: -25.4027	Loss_G: 9.2358
[23/100][500/1230]	Loss_D: -30.2447	Loss_G: 7.3913
[23/100][600/1230]	Loss_D: -32.0216	Loss_G: 9.0258
[23/100][700/1230]	Loss_D: -38.0389	Loss_G: 7.6315
[23/100][800/1230]	Loss_D: -36.7485	Loss_G: 11.7252
[23/100][900/1230]	Loss_D: -22.9953	Loss_G: 9.0970
[23/100][1000/1230]	Loss_D: -23.8218	Loss_G: 9.0074
[23/100][1100/1230]	Loss_D: -34.2429	Loss_G: 7.2420
[23/100][1200/1230]	Loss_D: -33.6591	Loss_G: 7.4098
Time taken for Epoch 23: 15.83s
[24/100][100/1230]	Loss_D: -39.0043	Loss_G: 8.6884
[24/100][200/1230]	Loss_D: -29.7866	Loss_G: 8.0706
[24/100][300/1230]	Loss_D: -36.0287	Loss_G: 7.6468
[24/100][400/1230]	Loss_D: -32.7595	Loss_G: 6.7266
[24/100][500/1230]	Loss_D: -24.1395	Loss_G: 9.1090
[24/100][600/1230]	Loss_D: -28.8629	Loss_G: 6.7515
[24/100][700/1230]	Loss_D: -34.3394	Loss_G: 8.4746
[24/100][800/1230]	Loss_D: -34.3728	Loss_G: 8.2135
[24/100][900/1230]	Loss_D: -24.3132	Loss_G: 6.7626
[24/100][1000/1230]	Loss_D: -25.5703	Loss_G: 8.7712
